48.846413, 2.354847
31.970403, 34.112655, Cultural
31.600000, 34.036562, Cultural
32.670000, 34.106284, Cultural
31.843229, 35.126944, Cultural
45.465889, 9.170500, Cultural
45.957056, 10.297333, Cultural
43.773060, 11.256110, Cultural
42.998784, 10.874670, Cultural
45.434306, 12.338944, Cultural
43.723056, 10.396389, Cultural
41.084806, 16.270944, Cultural
41.073330, 14.326390, Cultural
43.468060, 11.041670, Cultural
40.666389, 16.610278, Cultural
45.549167, 11.549444, Cultural
43.318611, 11.331667, Cultural
40.851389, 14.262778, Cultural
45.593330, 9.538330, Cultural
44.837778, 11.619444, Cultural
40.782500, 17.236940, Cultural
44.420417, 12.196250, Cultural
43.076944, 11.678611, Cultural
45.438611, 10.993889, Cultural
45.072530, 7.685720, Cultural
45.399111, 11.880667, Cultural
45.768333, 13.367500, Cultural
44.106940, 9.729170, Cultural
44.646240, 10.925680, Cultural
43.725000, 12.633330, Cultural
40.750000, 14.483333, Cultural
40.650000, 14.600000, Cultural
37.289722, 13.593333, Cultural
37.366110, 14.334170, Cultural
39.705833, 8.991389, Cultural
40.283333, 15.266667, Cultural
41.944167, 12.771972, Cultural
43.066167, 12.622444, Cultural
36.893194, 15.068917, Cultural
41.963917, 12.796250, Cultural
43.066667, 11.550000, Cultural
45.974556, 9.169556, Cultural
42.006833, 12.101889, Cultural
37.059440, 15.293060, Cultural
43.982725, 8.072118, Cultural
45.159444, 9.935451, Cultural
46.094167, 13.003559, Cultural
44.179114, 7.104618, Cultural
38.110833, 12.923559, Cultural
34.616667, 135.733333, Cultural
34.833333, 134.700000, Cultural
34.980556, 135.769444, Cultural
36.400000, 136.883333, Cultural
34.383333, 132.450000, Cultural
34.294417, 132.324639, Cultural
34.675556, 135.839444, Cultural
36.747500, 139.610556, Cultural
26.208611, 127.682778, Cultural
33.836944, 135.776389, Cultural
35.112778, 132.435000, Cultural
39.001111, 141.107778, Cultural
34.931337, 138.727500, Cultural
35.825781, 138.028784, Cultural
34.001059, 130.982725, Cultural
31.783333, 35.216667, Cultural
30.330560, 35.443330, Cultural
31.801940, 36.585830, Cultural
31.501670, 35.920560, Cultural
30.978229, 35.123281, Cultural
43.293056, 68.274444, Cultural
43.803333, 75.535000, Cultural
-2.284444, 40.852500, Cultural
-3.072951, 39.166614, Cultural
-4.062778, 38.820451, Cultural
40.101614, 71.923784, Cultural
19.888890, 102.133330, Cultural
13.989340, 104.963229, Cultural
56.954170, 24.116670, Cultural
33.725830, 35.929720, Cultural
34.007070, 36.204940, Cultural
34.119170, 35.647500, Cultural
33.271940, 35.194440, Cultural
34.243330, 36.048890, Cultural
32.638330, 14.293060, Cultural
32.805280, 12.485000, Cultural
32.825000, 21.858330, Cultural
24.833330, 10.333330, Cultural
30.133333, 9.500000, Cultural
54.686670, 25.293060, Cultural
54.887778, 24.830556, Cultural
49.610000, 6.133330, Cultural
-18.759170, 47.562780, Cultural
-13.863837, 33.849670, Cultural
4.991892, 99.916337, Cultural
5.067908, 100.113334, Cultural
13.906390, -4.555000, Cultural
16.773333, -2.999444, Cultural
16.289800, -0.044560, Cultural
35.871340, 14.507390, Cultural
35.900560, 14.514440, Cultural
36.049080, 14.269470, Cultural
11.600000, 164.951059, Cultural
